0.0313,2.75,14,C,2.762
0.0694,2.7,14,C,2.762
0.1179,2.65,14,C,2.762
0.0307,2.9,77,C,2.762
0.0945,2.7,42,C,2.762
0.0887,2.75,77,C,2.762
0.1679,2.6,14,C,2.762
0.0351,2.8,42,C,2.762
0.1372,2.65,42,C,2.762
0.0595,2.75,42,C,2.762
0.0437,2.85,77,C,2.762
0.011,2.8,14,C,2.762
0.0623,2.8,77,C,2.762
0.0202,2.85,42,C,2.762
0.1195,2.7,77,C,2.762
0.183,2.6,42,C,2.762
0.0791,2.9,168,C,2.762
0.1586,2.65,77,C,2.762
0.097,2.85,168,C,2.762
0.2489,2.55,77,C,2.762
0.201,2.6,77,C,2.762
0.3458,2.45,77,C,2.762
0.1769,2.7,168,C,2.762
0.3943,2.4,77,C,2.762
0.1177,2.8,168,C,2.762
0.2955,2.5,77,C,2.762
0.1454,2.75,168,C,2.762
0.4911,2.3,77,C,2.762
0.2108,2.65,168,C,2.762
0.5416,2.25,77,C,2.762
0.4417,2.35,77,C,2.762
0.25,2.6,168,C,2.762
0.337,2.5,168,C,2.762
0.5928,2.2,77,C,2.762
0.2902,2.55,168,C,2.762
0.1463,2.9,168,P,2.762
0.1161,2.85,168,P,2.762
0.0017,2.35,77,P,2.762
0.0884,2.8,168,P,2.762
0.0989,2.85,77,P,2.762
0.0024,2.4,77,P,2.762
0.0012,2.2,77,P,2.762
0.0058,2.55,77,P,2.762
0.0034,2.45,77,P,2.762
0.0673,2.8,77,P,2.762
0.0652,2.75,168,P,2.762
0.0258,2.7,77,P,2.762
0.0426,2.75,77,P,2.762
0.0041,2.5,77,P,2.762
0.0468,2.7,168,P,2.762
0.1354,2.9,77,P,2.762
0.0014,2.25,77,P,2.762
0.0335,2.65,168,P,2.762
0.1327,2.9,14,P,2.762
0.0147,2.65,77,P,2.762
0.0088,2.6,77,P,2.762
0.0875,2.85,42,P,2.762
0.0525,2.8,42,P,2.762
0.0035,2.85,14,C,2.762
0.0015,2.3,77,P,2.762
0.0233,2.6,168,P,2.762
0.0862,2.85,14,P,2.762
0.0122,2.5,168,P,2.762
0.0164,2.55,168,P,2.762
0.0431,2.8,14,P,2.762
0.0263,2.75,42,P,2.762
0.0014,2.9,14,C,2.762
0.0023,2.6,42,P,2.762
0.0047,2.65,42,P,2.762
0.0114,2.7,42,P,2.762
0.0134,2.75,14,P,2.762
0.0005,2.6,14,P,2.762
0.0008,2.65,14,P,2.762
0.0019,2.7,14,P,2.762
