0.0785,2.7,13,C,2.773
0.035,2.75,13,C,2.773
0.1266,2.65,13,C,2.773
0.0374,2.8,41,C,2.773
0.0465,2.85,76,C,2.773
0.1005,2.7,41,C,2.773
0.0326,2.9,76,C,2.773
0.0629,2.75,41,C,2.773
0.1769,2.6,13,C,2.773
0.144,2.65,41,C,2.773
0.1249,2.7,76,C,2.773
0.1919,2.6,41,C,2.773
0.3013,2.55,167,C,2.773
0.092,2.75,76,C,2.773
0.1643,2.65,76,C,2.773
0.26,2.6,167,C,2.773
0.0818,2.9,167,C,2.773
0.2183,2.65,167,C,2.773
0.3052,2.5,76,C,2.773
0.1497,2.75,167,C,2.773
0.3469,2.5,167,C,2.773
0.1215,2.8,167,C,2.773
0.2074,2.6,76,C,2.773
0.1817,2.7,167,C,2.773
0.2555,2.55,76,C,2.773
0.0637,2.8,76,C,2.773
0.5022,2.3,76,C,2.773
0.4026,2.4,76,C,2.773
0.099,2.85,167,C,2.773
0.4521,2.35,76,C,2.773
0.0112,2.8,13,C,2.773
0.3518,2.45,76,C,2.773
0.5506,2.25,76,C,2.773
0.6001,2.2,76,C,2.773
0.0014,2.25,76,P,2.773
0.0012,2.2,76,P,2.773
0.0201,2.85,41,C,2.773
0.1384,2.9,167,P,2.773
0.0933,2.85,76,P,2.773
0.13,2.9,76,P,2.773
0.0032,2.45,76,P,2.773
0.0629,2.8,76,P,2.773
0.0014,2.3,76,P,2.773
0.107,2.85,167,P,2.773
0.0022,2.4,76,P,2.773
0.081,2.8,167,P,2.773
0.039,2.75,76,P,2.773
0.0032,2.85,13,C,2.773
0.0021,2.6,41,P,2.773
0.0798,2.85,41,P,2.773
0.059,2.75,167,P,2.773
0.1232,2.9,13,P,2.773
0.0419,2.7,167,P,2.773
0.0465,2.8,41,P,2.773
0.0015,2.35,76,P,2.773
0.0225,2.7,76,P,2.773
0.0036,2.5,76,P,2.773
0.0078,2.6,76,P,2.773
0.0291,2.65,167,P,2.773
0.0759,2.85,13,P,2.773
0.005,2.55,76,P,2.773
0.0125,2.65,76,P,2.773
0.0222,2.75,41,P,2.773
0.0197,2.6,167,P,2.773
0.0102,2.5,167,P,2.773
0.0135,2.55,167,P,2.773
0.0093,2.7,41,P,2.773
0.0038,2.65,41,P,2.773
0.0004,2.6,13,P,2.773
0.0011,2.9,13,C,2.773
0.0333,2.8,13,P,2.773
0.0012,2.7,13,P,2.773
0.0078,2.75,13,P,2.773
0.0004,2.65,13,P,2.773
